date,t_start,t_end,R_median,R_lower_95,R_upper_95
2023-06-10,33,39,2.31619385764903,2.07663093133619,2.56586646668788
2023-06-11,34,40,2.46913097513262,2.31974077067203,2.74847871790975
2023-06-12,35,41,2.61518874668834,2.30180844561724,2.90432071424071
2023-06-13,36,42,2.534354670981,2.12390529218699,2.89199447850118
2023-06-14,37,43,2.77523343609128,2.26407742216512,3.32052469830242
2023-06-15,38,44,2.44063870210482,1.99320512502221,3.06093409478103
2023-06-16,39,45,3.08120618049394,2.55525798868016,3.9257805786598
2023-06-17,40,46,2.91320036226658,2.45734110279743,3.68828043038949
2023-06-18,41,47,4.1007190037008,3.52396331190751,5.0657142379607
2023-06-19,42,48,4.43599827448893,3.87856928156085,5.32023492231347
2023-06-20,43,49,4.66136465620747,4.12293452355154,5.43840156620015
2023-06-21,44,50,3.99661632576849,3.55603310879732,4.58142129691812
2023-06-22,45,51,4.48430905345875,3.94644330340597,5.08733604757953
2023-06-23,46,52,4.9539871429228,4.23937279070821,5.60208423062582
2023-06-24,47,53,4.85436739618236,4.00999674163744,5.50595619764448
2023-06-25,48,54,4.51646109502048,3.61900629962125,5.20818554543468
2023-06-26,49,55,3.50961161007549,2.75023421124584,4.16611519296167
2023-06-27,50,56,3.58141672917185,2.77022680646651,4.39228979122465
2023-06-28,51,57,3.84124009536441,2.96839147988139,4.84479313903865
2023-06-29,52,58,4.63308364423355,3.60296771734074,5.94796633364885
2023-06-30,53,59,4.21543744841356,3.32081412454619,5.44038517551733
2023-07-01,54,60,4.12153754055625,3.30217549450872,5.28051461371019
2023-07-02,55,61,3.23772078090772,2.64949452659343,4.09738274875455
2023-07-03,56,62,3.34225557139429,2.77346269713096,4.15668407985509
2023-07-04,57,63,3.14245381730144,2.62373455244136,3.84564704416012
2023-07-05,58,64,3.94072038119029,3.29691322474097,4.7524773391856
2023-07-06,59,65,3.51110308182285,2.93776674167094,4.18832162347044
2023-07-07,60,66,3.41040081610433,2.85565728827764,4.05135763324175
2023-07-08,61,67,2.80519457686116,2.3522528375239,3.32711735907219
2023-07-09,62,68,3.19332009212604,2.68180556736027,3.78992003234158
2023-07-10,63,69,3.21383880709724,2.70266224730769,3.81111687437442
2023-07-11,64,70,3.83940824207021,3.23342260650521,4.55077257275943
2023-07-12,65,71,3.48847304056139,2.94520438850427,4.13037357910793
2023-07-13,66,72,2.8342349141294,2.40225185574943,3.35082064850603
2023-07-14,67,73,2.96089776042861,2.51539193653093,3.49209680935732
2023-07-15,68,74,3.39546389765274,2.8862482455937,3.99371541699606
2023-07-16,69,75,4.23500412137798,3.59468329171067,4.96952798156132
2023-07-17,70,76,4.36097500407466,3.69717427868987,5.11324589129739
2023-07-18,71,77,4.09232456861884,3.46645213650899,4.79672966509797
2023-07-19,72,78,3.36885576493493,2.84949684250904,3.95410771975102
2023-07-20,73,79,3.75375542146264,3.1621790402681,4.41440797341709
2023-07-21,74,80,3.60910997760938,3.0089609358,4.25321887421991
2023-07-22,75,81,4.57517026403746,3.76607392207326,5.40633732640813
2023-07-23,76,82,4.22094910923463,3.44581639745738,5.01975932277885
2023-07-24,77,83,4.25053903986292,3.45665525742029,5.10678271481875
2023-07-25,78,84,3.45137022339892,2.80722230617116,4.18117728943919
2023-07-26,79,85,3.76832396096129,3.06696829252471,4.58880860757318
2023-07-27,80,86,3.77404012131166,3.07249163464315,4.60385354223457
2023-07-28,81,87,4.43724551073461,3.61625858766154,5.41540236364931
2023-07-29,82,88,3.96911478802393,3.24039331066898,4.83977388167782
2023-07-30,83,89,3.87816144706169,3.17798527454451,4.72100281210566
2023-07-31,84,90,3.10033160880879,2.5508222160485,3.76498808687097
2023-08-01,85,91,3.47008685310818,2.86238399976569,4.20718321767843
2023-08-02,86,92,4.20175031169353,3.46959750011033,5.08343789280372
2023-08-03,87,93,4.22352764731624,3.48817196891524,5.10066560250696
2023-08-04,88,94,3.96087903081526,3.2772186170687,4.77641575965883
2023-08-05,89,95,3.20754402187249,2.66228784586307,3.86365368735072
2023-08-06,90,96,3.23570054338133,2.6886099307827,3.89089901001247
2023-08-07,91,97,3.71478565659727,3.08581904472886,4.4615865442645
2023-08-08,92,98,12.4927830620568,10.354282088689,14.9890240017862
