# BEAST v10.5.0
# Generated Mon May 18 21:46:34 CEST 2026 [seed=1779133593529]
# Binome_10.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.rates.KHM.CHN	location.rates.LAO.CHN	location.rates.THA.CHN	location.rates.VNM.CHN	location.rates.LAO.KHM	location.rates.THA.KHM	location.rates.VNM.KHM	location.rates.THA.LAO	location.rates.VNM.LAO	location.rates.VNM.THA	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
543500000	-95214.47546034282	-399.0008537244735	-94815.47460661834	0.2806553280997495	2023.3275638499824	19.00424830960746	0.12875654488775368	7.04436856938608	7.456850876618575	6.0225818850974395	1.8393988992069934	1.598534794349469	0.00562284312551178	-0.410541345575497	-2.384964755836896	-2.656374975106123	1.5410219841946815	-1.2684388526408876	-1.7993467663501796	0.25	1.0552016229198429	0.9384908364740838	0.9974599973600595	0.992576388154228	0.9881107352602322	1.0281604198316128	0.5411523131980964	0.05170978126572406	0.024527925325283202	1.6616160529581345	0.051282407593928304	0.47162258273358254	-0.03442683829524337	1.6616160529581345	1.6670269814739012	0.707772171248422	0.20645342383729196	0.32965015799129627	1.3352902448608825	0.0744609029081863	0.7224356329120221	0.3235608279470249	1.2863737415535195	0.14110459433620445	0.5894386910202001	0.09437564673582194	0.9679488730492394	2.870505134062596	0.3716624385196597	0.3217652506003423	3.1626703785895938	0.5769078006363081	2.909145941397708	4.50003762784121	-94540.54101923476	0.0	0.0	-274.9335873835804	-336.11526184357155
544000000	-95218.72256562278	-397.2582680566294	-94821.46429756616	0.25495136235423904	2023.353267815728	19.466365806564923	0.05842094569648468	17.200728516479863	9.965393930217505	8.205793134750948	2.2045431623326657	1.45073998773258	0.4045817242952708	0.1333053337334577	-1.491636645340685	-1.5615445211841792	-3.3200501459472016	-2.471018915902149	-5.706971473182304	0.25	1.0139451142150757	0.9507482885821934	0.9796855837118761	0.9991202752205642	1.000385386208729	1.05611535206162	0.518333831201262	0.0510668715256077	0.022491105723936033	1.388557299562899	0.049738319745442794	0.4644921983539909	-0.010669927756195196	1.3885572995628988	0.17841147665789045	0.8335234714313797	0.3487816949433831	0.08485460949099503	0.48415086004590185	0.3204473359133589	0.24061764246846468	0.7567900542327864	0.8921123660657084	0.7558596034668598	0.11649948265784217	0.7433122549344279	0.9525871838962918	4.24486186045707	0.03499767308175037	0.30400326077476064	3.0068869477752087	0.4788932781630756	2.8741193670933485	2.7241885049069605	-94546.56739686032	0.0	0.0	-274.8969007058285	-342.65290272121575
544500000	-95194.73555867159	-377.1299423872097	-94817.60561628437	0.25451710661122673	2023.353702071471	18.598797006381847	0.03452950296386895	12.791264421426439	7.679944064097272	11.268824435738757	1.8393867317110546	0.5504282150398536	0.3834425500116425	-0.02281697414534646	-2.1036403662864864	-2.6622681974799565	3.094994807943056	4.271942157701107	-5.67927432602475	0.25	1.0305107993326421	0.9647561529717342	1.009847750691997	1.0093359460314848	0.962198267412807	1.0233510835593937	0.5314308365536828	0.05260823978488718	0.02505413112504269	1.789819033582859	0.05074416833202794	0.5052824818844767	-0.021390448663755716	1.7898190335828608	0.5020806808661453	0.12628853462206024	0.6627528654811482	0.23575364834391843	0.5801047469944588	0.6580470223269136	0.1263981031631056	0.18170917730560343	2.132594265906542	0.5559679058129225	0.5299109384863921	0.03630251251212408	0.6199779283585358	3.8053090294740635	0.7002582952187099	0.06455101037899871	2.429107492311386	0.18890776245667515	0.8911639521657453	2.407060988000902	-94541.76564062576	0.0	0.0	-275.8399756586151	-319.52764007003066
545000000	-95197.90898118148	-393.3842062942721	-94804.5247748872	0.2548884344399606	2023.3533307436423	18.796678852189938	0.07801569885362215	6.9811647922413815	7.085191626267111	7.628702681314318	1.842168889812325	0.7254126131137468	0.6321940510057633	-0.6658376541780777	-0.9024165281845149	-2.828921736702934	-2.4933678453771035	-0.5438417263154705	-4.618251451574919	0.25	1.0542112740789826	0.9828459479016243	0.9952951502110932	0.9650775150425855	0.9666586067872536	1.03591150597852	0.5017635596606934	0.05238962383280664	0.02613473580833494	1.457675830616874	0.051434630529719014	0.497618171671737	-0.027695615968353023	1.4576758306168727	0.9193272229636087	0.6390636817717803	0.15810934134839774	0.5972509728459164	0.2102637926839363	0.8599993675663131	1.4236706218777113	0.5360408875783004	0.2744352081226119	0.5551334386305796	0.31158100159858754	0.9583438408609588	2.204269178896204	3.564253874330431	0.7483802382873562	0.08270747186561747	3.766389418290269	1.0737495277510414	2.5702290804155603	3.6364932402984795	-94525.77004865317	0.0	0.0	-278.75472623403505	-333.3662443060801
545500000	-95210.11784151873	-394.2715136095378	-94815.8463279092	0.22775938763107637	2023.3804597904511	18.585887215638728	0.46166414100227937	5.664092918642249	5.596526607577052	4.316518919454222	2.4011991291904047	0.7934816323423037	0.284443542598474	-0.5955908620906607	-1.9240503238892597	-2.658091739177099	-2.583961276575491	-2.352245447707674	-4.899937937895741	0.25	1.02213436291408	0.9938020295002034	1.0346133038037304	0.9844748399297141	0.9478638067418417	1.0171116571104895	0.5219039815535093	0.05081378790745375	0.024988758229364794	1.3256192653010563	0.051434157127013595	0.49016934201197254	0.010785681514410252	1.3256192653010566	0.005654292725960782	0.3077788116904877	0.09009026316835272	0.4022629033367289	0.6842166426058236	0.12701609724563387	0.25830332096474407	0.7311796207826133	0.8966086889449687	0.21708919449937317	1.6638903120640975	0.13177477323469394	0.8104865727691358	5.850754175303098	0.137485434769535	0.19396638260705582	6.699430468036502	1.9526067270177256	4.527414125994847	4.76736677629452	-94538.91766578428	0.0	0.0	-276.92866212491595	-329.92795166277193
546000000	-95199.30747978855	-400.1396627617926	-94799.16781702676	0.2646244820188435	2023.3435946960633	19.54366723601881	0.7231456309924511	5.165669383187158	5.217132192436086	3.9564866216106425	2.3857695006869415	0.6408089431621535	0.5950289344839145	-0.5479464123915354	-1.969989719299899	-2.3344560047558467	-2.116380019790085	-2.494732615825164	-3.528885996201841	0.25	1.0281633580998757	0.9863857897721156	0.9726917019862494	1.0426043638271951	0.9631098781963991	1.0070449081182231	0.5463464757686624	0.04950904173680401	0.024305344555020772	1.3571907185540286	0.04906625509745332	0.5116011150678405	0.038012027091680514	1.3571907185540293	0.06337583556243856	1.193746750398741	0.4403764689101075	0.5379129069910373	0.017205823914319407	0.218528544417935	0.3568113455376323	0.07226966341249849	0.3641713688382059	1.3770533512128025	0.20586024572754408	0.3120796658189613	0.9732078896606715	3.8834448086100157	0.010742536462607925	1.2116027027837406	2.597350109650423	1.1604226989706943	1.999755801695823	3.7750679785752603	-94521.590680375	0.0	0.0	-277.5771366517552	-343.12671332659306
546500000	-95173.98812622922	-367.7924510847808	-94806.19567514444	0.2552985402534421	2023.3529206378287	18.660562342814494	0.0960539919604113	14.205651862820929	9.307322762896977	5.710009238558836	2.0897378777575693	0.5947213702054003	0.7962321383153249	-1.3543681150636353	-1.703176784492646	-3.5432490434208437	-2.2689902815818694	-0.2654463011981123	-5.0920158228496915	0.25	1.0078497364746057	0.9980172337958279	0.9655013123896671	1.0066940288115918	0.973125046853807	1.04881264167456	0.5483995625868272	0.0514230764190346	0.023900527154613434	1.6635642189580404	0.05128514994274115	0.47132681287183104	-0.0017301621662093127	1.6635642189580424	1.424540940345304	0.042424616799851655	0.4471025857808782	0.029031522125283513	0.04760274637331581	0.6728363547904581	0.389683754026646	1.0945204542406115	0.21464033920973777	0.39420611861213883	0.3591742164190164	0.5911939911947068	2.4102125311983054	3.6850591971075795	0.3576782491835828	0.30001674933349914	2.547834780415345	0.7802140082991437	1.046654247834336	2.806265071648802	-94529.57269744563	0.0	0.0	-276.6229776988059	-309.2464796073525
547000000	-95198.03872817964	-379.289201254518	-94818.74952692512	0.2527577394473931	2023.3554614386348	18.357159557021248	0.21159766401657462	6.399258663175142	6.660908993488156	6.374271603006322	2.0409295001262455	0.572421466620865	0.36548049570482044	-1.084969219027333	-2.004370118830735	-1.2096023176195456	-1.6379535933494025	-3.110129964098791	-6.303457170912346	0.25	1.026474310435367	0.9604231537009541	0.9773301874976357	0.9956781232169665	0.9834435028561852	1.0566507222929513	0.5078431510273094	0.0523814823781371	0.025699725203863134	1.3853235627662122	0.051996762307664826	0.4796053340082259	-0.05657569531765873	1.385323562766211	0.3977794778420387	0.26334981199193036	0.33548145461462553	0.06803266719385873	0.9509986218952677	0.7163647000895368	0.49996708469126916	0.24206028826587017	0.8376186828855641	0.90043870753169	0.13053028301491368	1.2474845828404908	0.29895133828934795	4.635602642117607	0.39836270599267476	0.03784645260438553	3.5552615361609257	0.21463704935211853	1.5257984165548366	2.677461765554155	-94538.3364009655	0.0	0.0	-280.41312595962063	-325.4130422894671
547500000	-95172.12341522143	-354.0227187766068	-94818.10069644483	0.2785847663285655	2023.3296344117537	18.610903635633626	0.07331554040146457	6.396560453786157	7.533305730774138	6.412554758555441	1.9583775274270476	0.40500053159436933	1.6080741847202793	-1.1056712157094164	-2.685147399803285	-0.6958571338127268	-0.4395563754180578	0.5504383988410411	-1.789674854600164	0.25	1.039259036400179	0.9867130640480486	0.9838761159619323	0.958937674813605	0.9910894642829756	1.040124644493319	0.5276011972578573	0.05219240648497443	0.025260310471701675	1.6031194707922067	0.05027309425110097	0.5006704251589521	-0.08255102535573516	1.6031194707922058	0.1601961977587279	1.2883510503637903	0.12569384243759368	0.0678208174673277	0.28387092546618986	0.47826529701397735	0.14236699283375062	0.27823707234729245	0.5727863975395449	0.32066222777817893	2.6465537195739746	0.13280648188736985	1.6392610050257088	2.9588787693745484	2.0896151593271655	0.3291963180967479	2.968570854519101	1.7344874428294639	1.7715640300739057	1.9864063287617129	-94536.69143615164	0.0	0.0	-281.4092602931859	-294.6536499968601
548000000	-95180.2144391381	-368.92768717269973	-94811.2867519654	0.23267255938096545	2023.3755466187013	18.42111004632544	0.18636459036039998	10.560774675412803	8.421552723319992	5.970548000926515	1.8935882177947734	0.8474656893775767	0.35564767139880393	-0.6926558335700166	-1.722282413365269	-2.4279047428362213	-2.8035757142218722	-5.3099277932229345	-4.732473516142776	0.25	1.0553591657071624	0.9978391405878205	0.9697934125316753	1.0057591827189258	0.954748068559697	1.0165010298947776	0.5128802487960507	0.05335373504818629	0.027477301391106938	1.4128302197596263	0.05169840498059602	0.5069593874518211	-0.05609012705900412	1.412830219759625	0.18328731451762076	0.0457270291888942	0.35740643994291454	0.16767922062434718	0.14329289423728916	0.21320787066270896	0.14858953884092815	0.490938500235723	1.1683309084246283	0.25093285575633417	0.04679068004488759	0.11338997259233818	2.045844077122549	3.049488042066516	0.0785908858911012	0.5580524035880416	2.378992294322108	0.4228274038199856	2.3687886341431414	2.0142285751145517	-94537.79753912464	0.0	0.0	-273.48921284074964	-318.2185405346098
548500000	-95192.62376765706	-370.2766913966861	-94822.34707626037	0.2517665892465816	2023.3564525888357	17.950573069314043	0.2718692074852272	7.4424604070645515	5.477237429682711	4.122033219541707	1.4603775641789984	0.829853231954142	0.45644158050113526	-1.2161152014438543	-3.0992302724058742	0.5270762366189612	-1.221667060623582	-3.2918069558649554	-4.9475137521687245	0.25	1.0664074614712344	0.9579253084453223	1.0023693883317024	1.0396151402105986	0.917790635955513	1.0158920655856865	0.5326452322415142	0.05471239983520125	0.024392602636072475	1.4636238923616547	0.053149827611686726	0.48228810842982467	-0.023862301667034878	1.4636238923616531	0.015995037256528493	0.4584452868088141	0.07421677083146769	0.1758204069214002	0.6296619715011518	0.9336787518781794	0.6674530152079523	0.0396223085835813	0.14692841551511998	0.2391682515920511	0.13864410917677453	1.2490219737100983	2.8150970807380955	4.63347893298128	0.01753898804416415	0.35432159861115164	4.256413505956524	0.7434373296423198	1.2391798273478907	2.0902836580526665	-94545.48125478305	0.0	0.0	-276.86582147731707	-314.185543851809
549000000	-95166.16288371658	-373.0240988227279	-94793.13878489385	0.24792073134550577	2023.3602984467368	17.77974905712692	0.6272645422796236	5.253043212061245	4.832897269368128	4.033840583935412	2.0062400566194145	0.2774517496844871	0.3627431244240764	-1.3896967395064055	-2.775833797088319	0.9958636798313627	-0.12923278226155976	-2.6818070556654803	-3.5378143851274695	0.25	1.0199194887663325	0.9821923835451924	1.0168373677907676	0.982598196762976	0.979557378624481	1.0188951845103105	0.5370717975155617	0.05694813777054053	0.03076510637595416	1.5361120710297174	0.05420990617463379	0.522200163603881	-0.0293296137172876	1.5361120710297176	0.20659719346435776	0.16104269847396732	0.037120618837618025	0.8418548812920217	0.6140118538526451	0.05167216713252764	0.36771694434365265	0.1594662637363754	0.563096543153066	0.8248752987796278	0.175038800489457	0.5420190321007259	1.528605552438756	2.0417589788822776	0.3276823494477847	0.24316008996483246	3.404514005926603	0.17271654739100004	3.1074468154883195	2.9204133291346626	-94515.88833372369	0.0	0.0	-277.2504511701525	-317.5740502907412
549500000	-95180.5448188783	-362.08413205865565	-94818.46068681964	0.25715550482393357	2023.3510636732583	19.30735119213922	0.3664747619075808	7.222204116792155	5.647814008221498	4.268734112352901	2.723324485902377	0.8163526799728602	0.6431636623990487	-0.6169015511792405	-2.0229626723371763	-2.654568823839597	-3.0931597490871225	-3.180190759342157	-5.03882361979135	0.25	1.036474134836562	0.9593226598077388	1.045002115578304	0.9995828060742346	0.9676247013659848	0.991993582337236	0.5540826724908487	0.05338865195638975	0.02790252643563245	1.2076864332862682	0.050688898059882394	0.4878840099097622	-0.040287789306475634	1.2076864332862693	0.49877061020058766	0.34824417960957504	0.11738667772860727	0.2172504569134772	1.2817996214321647	0.5557299752071928	0.004462086904174596	0.23647544110267144	1.9501957133157648	0.3190884452459237	0.23751610527106304	0.0026007391635764587	0.6770783210072819	2.730294580660239	0.2492375443800361	0.22572837848621383	1.8522303947979644	0.082006901716222	1.0898656450738857	2.0290309658250285	-94532.30436277924	0.0	0.0	-286.1563240404077	-314.9427911939667
550000000	-95152.29609332343	-358.8619180057335	-94793.4341753177	0.24571857024062943	2023.3625006078416	17.928566781440125	0.26527031207316554	5.1921238257867675	5.610162633834053	5.282350384924457	1.7466598545753262	0.8348813333228696	0.6602750700965537	-1.736646679570703	-3.248854292418064	-2.7243583787383767	-2.654386999723865	-3.698223925277191	-3.395125904191122	0.25	0.9936421132923977	0.9672489280109241	0.9749820675725367	1.0315549255657253	0.9877807393821181	1.0447912261763574	0.515367633342243	0.05451424878236944	0.027022236444828318	1.7383896778604615	0.053355687419329355	0.5105027824505829	-0.0010416900100407315	1.738389677860459	0.12090530708551582	0.027386256601863772	0.030950814413100672	0.2734269757238369	1.5886694133683577	0.005184562940372051	0.02910538996947721	0.32739811612266023	0.9011905426935488	0.06471076330288801	0.4442494118494523	1.0721337394843127	0.5381702290767548	2.0449750142299794	0.9313518421986036	0.07120352513785534	2.7222391402485733	0.19183434336892038	1.6139382313493396	1.5724785876512335	-94519.632114109	0.0	0.0	-273.8020612086933	-304.1942698899095
