ID,collection_date,location
M-73,2023-06-16,VNM
M-74,2023-06-22,VNM
M-75,2023-06-21,VNM
M-76,2023-06-15,VNM
M-77,2023-06-15,VNM
M-78,2023-06-17,VNM
M-79,2023-06-19,VNM
H-21,2023-07-14,VNM
H-22,2023-07-09,VNM
H-23,2023-07-12,VNM
H-24,2023-07-12,VNM
H-25,2023-07-09,VNM
M-80,2023-06-26,VNM
M-81,2023-06-16,VNM
M-82,2023-06-19,VNM
M-83,2023-07-07,VNM
M-84,2023-06-17,VNM
M-85,2023-06-20,VNM
H-26,2023-07-14,VNM
H-27,2023-07-12,VNM
H-28,2023-07-09,VNM
H-29,2023-07-12,VNM
H-30,2023-07-10,VNM
M-86,2023-06-19,VNM
M-87,2023-06-17,VNM
M-88,2023-07-04,VNM
M-89,2023-06-23,VNM
M-90,2023-06-28,VNM
M-91,2023-06-25,VNM
M-92,2023-06-20,VNM
M-93,2023-06-19,VNM
M-94,2023-06-21,VNM
H-31,2023-07-12,VNM
M-95,2023-06-26,VNM
M-96,2023-06-20,VNM
M-97,2023-07-04,VNM
M-98,2023-06-26,VNM
M-99,2023-06-21,VNM
H-32,2023-07-15,KHM
H-33,2023-07-15,VNM
H-34,2023-07-14,THA
M-100,2023-07-02,VNM
M-101,2023-06-23,VNM
M-102,2023-06-25,VNM
M-103,2023-06-21,VNM
M-104,2023-06-21,VNM
M-105,2023-06-20,VNM
M-106,2023-06-21,VNM
M-107,2023-06-26,VNM
M-108,2023-06-22,VNM
M-109,2023-06-21,VNM
H-35,2023-07-17,VNM
H-36,2023-07-14,VNM
H-37,2023-07-15,VNM
H-38,2023-07-18,VNM
M-110,2023-07-01,VNM
M-111,2023-06-23,CHN
M-112,2023-06-21,VNM
M-113,2023-06-21,VNM
M-114,2023-07-02,VNM
M-115,2023-06-21,VNM
M-116,2023-07-01,VNM
M-117,2023-06-28,VNM
M-118,2023-06-22,VNM
M-119,2023-06-23,VNM
M-120,2023-06-25,VNM
M-121,2023-07-02,VNM
H-39,2023-07-18,VNM
H-40,2023-07-15,THA
M-122,2023-07-08,VNM
M-123,2023-06-25,VNM
M-124,2023-06-22,CHN
M-125,2023-06-22,VNM
M-126,2023-06-23,VNM
M-127,2023-06-22,VNM
M-128,2023-06-21,VNM
M-129,2023-06-21,VNM
M-130,2023-06-26,VNM
M-131,2023-06-25,VNM
M-132,2023-06-22,VNM
M-133,2023-06-25,VNM
M-134,2023-06-23,VNM
M-135,2023-06-28,VNM
M-136,2023-06-21,VNM
H-41,2023-07-19,KHM
H-42,2023-07-18,VNM
H-43,2023-07-17,VNM
H-44,2023-07-17,THA
H-45,2023-07-19,VNM
M-137,2023-06-30,CHN
M-138,2023-06-28,VNM
M-139,2023-06-23,VNM
M-140,2023-06-26,VNM
M-141,2023-06-27,VNM
M-142,2023-06-26,VNM
M-143,2023-06-27,VNM
M-144,2023-07-03,VNM
M-145,2023-06-27,VNM
M-146,2023-07-04,VNM
M-147,2023-06-27,VNM
M-148,2023-07-07,VNM
M-149,2023-06-22,VNM
H-46,2023-07-17,VNM
H-47,2023-07-17,VNM
H-48,2023-07-19,VNM
H-49,2023-07-19,CHN
H-50,2023-07-17,KHM
H-51,2023-07-17,VNM
H-52,2023-07-21,VNM
M-150,2023-06-25,VNM
M-151,2023-07-01,VNM
M-152,2023-06-23,VNM
M-153,2023-07-01,VNM
M-154,2023-07-12,VNM
M-155,2023-06-25,VNM
M-156,2023-06-30,VNM
M-157,2023-06-26,VNM
M-158,2023-06-25,VNM
M-159,2023-06-28,VNM
M-160,2023-06-26,VNM
M-161,2023-06-25,VNM
M-162,2023-06-25,VNM
H-53,2023-07-18,CHN
H-54,2023-07-20,VNM
H-55,2023-07-19,VNM
M-163,2023-07-02,VNM
M-164,2023-07-07,VNM
M-165,2023-06-30,VNM
M-166,2023-07-04,VNM
M-167,2023-06-28,VNM
M-168,2023-06-26,VNM
M-169,2023-06-28,VNM
M-170,2023-06-30,VNM
M-171,2023-06-26,VNM
M-172,2023-07-08,VNM
M-173,2023-07-01,VNM
M-174,2023-07-08,VNM
M-175,2023-07-02,VNM
M-176,2023-07-01,VNM
M-177,2023-07-02,VNM
M-178,2023-07-04,VNM
M-179,2023-07-08,VNM
M-180,2023-07-19,VNM
H-56,2023-07-24,THA
H-57,2023-07-19,VNM
H-58,2023-07-18,VNM
H-59,2023-07-19,CHN
H-60,2023-07-19,LAO
M-181,2023-07-19,VNM
M-182,2023-06-30,VNM
M-183,2023-07-02,VNM
M-184,2023-07-03,VNM
M-185,2023-06-26,VNM
M-186,2023-06-27,VNM
M-187,2023-07-14,VNM
M-188,2023-06-26,VNM
M-189,2023-06-30,VNM
M-190,2023-07-01,VNM
M-191,2023-06-30,VNM
M-192,2023-06-26,VNM
M-193,2023-06-26,VNM
M-194,2023-06-27,VNM
M-195,2023-06-30,VNM
H-61,2023-07-19,VNM
H-62,2023-07-19,VNM
H-63,2023-07-19,VNM
H-64,2023-07-20,VNM
M-196,2023-07-04,VNM
M-197,2023-06-30,VNM
M-198,2023-07-03,VNM
M-199,2023-06-26,VNM
M-200,2023-06-30,VNM
M-201,2023-07-27,VNM
M-202,2023-07-08,VNM
M-203,2023-06-26,VNM
M-204,2023-07-02,VNM
M-205,2023-07-07,VNM
M-206,2023-06-26,VNM
M-207,2023-07-02,VNM
M-208,2023-07-04,VNM
H-65,2023-07-21,THA
H-66,2023-07-21,VNM
M-209,2023-06-27,VNM
M-210,2023-06-28,VNM
M-211,2023-07-03,VNM
M-212,2023-07-02,VNM
M-213,2023-06-28,VNM
M-214,2023-07-06,VNM
M-215,2023-07-03,VNM
M-216,2023-07-07,VNM
M-217,2023-07-02,VNM
M-218,2023-06-28,VNM
M-219,2023-07-10,VNM
M-220,2023-08-05,VNM
M-221,2023-06-28,VNM
M-222,2023-07-01,VNM
M-223,2023-06-28,VNM
M-224,2023-07-09,VNM
M-225,2023-06-28,VNM
M-226,2023-06-27,VNM
M-227,2023-07-13,VNM
M-228,2023-06-28,VNM
M-229,2023-07-02,VNM
M-230,2023-07-02,VNM
M-231,2023-07-02,VNM
M-232,2023-07-02,VNM
M-233,2023-07-04,VNM
H-67,2023-07-20,VNM
H-68,2023-07-25,VNM
H-69,2023-07-23,VNM
H-70,2023-07-23,CHN
H-71,2023-07-23,VNM
H-72,2023-07-20,KHM
M-234,2023-07-03,VNM
M-235,2023-07-01,VNM
M-236,2023-07-01,VNM
M-237,2023-06-28,VNM
M-238,2023-06-30,VNM
M-239,2023-07-10,VNM
M-240,2023-07-02,VNM
M-241,2023-06-28,VNM
M-242,2023-07-09,VNM
M-243,2023-07-02,VNM
M-244,2023-06-30,VNM
M-245,2023-07-02,VNM
M-246,2023-07-01,VNM
M-247,2023-07-13,VNM
M-248,2023-06-30,VNM
M-249,2023-07-08,VNM
M-250,2023-06-30,VNM
M-251,2023-07-02,VNM
M-252,2023-06-28,VNM
M-253,2023-07-14,VNM
M-254,2023-07-06,VNM
M-255,2023-07-02,VNM
M-256,2023-06-28,VNM
M-257,2023-06-30,VNM
M-258,2023-07-03,VNM
H-73,2023-07-23,VNM
H-74,2023-07-25,VNM
H-75,2023-07-25,THA
H-76,2023-07-24,CHN
H-77,2023-07-26,VNM
H-78,2023-07-25,VNM
H-79,2023-07-23,VNM
H-80,2023-07-25,THA
H-81,2023-07-26,KHM
M-259,2023-07-08,VNM
M-260,2023-07-03,VNM
M-261,2023-06-30,VNM
M-262,2023-07-02,VNM
M-263,2023-06-30,VNM
M-264,2023-07-03,VNM
M-265,2023-06-30,VNM
M-266,2023-07-02,VNM
M-267,2023-07-02,VNM
M-268,2023-07-09,VNM
M-269,2023-06-30,VNM
M-270,2023-07-01,VNM
M-271,2023-07-03,VNM
M-272,2023-07-09,VNM
M-273,2023-06-30,VNM
M-274,2023-07-03,VNM
M-275,2023-07-08,VNM
M-276,2023-07-01,VNM
M-277,2023-07-02,VNM
M-278,2023-07-01,VNM
M-279,2023-07-15,VNM
M-280,2023-06-30,VNM
M-281,2023-07-14,VNM
M-282,2023-07-01,VNM
M-283,2023-07-06,VNM
M-284,2023-07-02,VNM
H-82,2023-07-25,VNM
H-83,2023-07-25,VNM
H-84,2023-07-25,VNM
H-85,2023-07-25,VNM
H-86,2023-07-25,VNM
H-87,2023-07-26,VNM
H-88,2023-07-25,VNM
H-89,2023-07-26,VNM
H-90,2023-07-25,VNM
M-285,2023-07-07,VNM
M-286,2023-07-08,VNM
M-287,2023-07-02,VNM
M-288,2023-07-08,VNM
M-289,2023-07-02,VNM
M-290,2023-07-02,VNM
M-291,2023-07-02,VNM
M-292,2023-07-06,VNM
M-293,2023-07-01,VNM
M-294,2023-07-07,VNM
M-295,2023-07-02,VNM
M-296,2023-07-09,VNM
M-297,2023-07-13,VNM
M-298,2023-07-08,VNM
M-299,2023-07-03,VNM
M-300,2023-07-01,VNM
M-301,2023-07-02,VNM
M-302,2023-07-15,VNM
M-303,2023-07-23,VNM
M-304,2023-07-08,VNM
H-100,2023-07-25,VNM
H-91,2023-07-27,THA
H-92,2023-07-29,LAO
H-93,2023-07-26,VNM
H-94,2023-07-25,VNM
H-95,2023-07-25,VNM
H-96,2023-07-27,VNM
H-97,2023-07-25,VNM
H-98,2023-07-27,VNM
H-99,2023-07-25,VNM
M-305,2023-07-02,VNM
M-306,2023-07-14,VNM
M-307,2023-07-19,VNM
M-308,2023-07-09,VNM
M-309,2023-07-07,VNM
M-310,2023-07-03,VNM
M-311,2023-07-07,VNM
M-312,2023-07-08,VNM
M-313,2023-07-08,VNM
M-314,2023-07-03,VNM
M-315,2023-07-02,VNM
M-316,2023-07-10,VNM
M-317,2023-07-17,VNM
M-318,2023-07-02,VNM
M-319,2023-07-13,VNM
M-320,2023-07-04,VNM
M-321,2023-07-02,VNM
M-322,2023-07-02,VNM
M-323,2023-07-02,VNM
M-324,2023-07-09,VNM
M-325,2023-07-02,VNM
M-326,2023-07-02,VNM
M-327,2023-07-06,VNM
M-328,2023-07-08,VNM
M-329,2023-07-06,VNM
M-330,2023-07-08,VNM
M-331,2023-07-09,VNM
M-332,2023-07-02,VNM
M-333,2023-07-02,VNM
H-101,2023-07-26,VNM
H-102,2023-07-25,VNM
H-103,2023-07-26,VNM
H-104,2023-07-26,VNM
H-105,2023-07-29,VNM
H-106,2023-07-25,VNM
H-107,2023-07-25,VNM
H-108,2023-07-26,VNM
H-109,2023-07-26,VNM
H-110,2023-07-27,VNM
H-111,2023-07-29,VNM
H-112,2023-07-30,VNM
H-113,2023-07-29,VNM
M-334,2023-07-03,VNM
M-335,2023-07-09,VNM
M-336,2023-07-04,VNM
M-337,2023-07-03,VNM
M-338,2023-07-08,VNM
M-339,2023-07-08,VNM
M-340,2023-07-03,VNM
M-341,2023-07-02,VNM
M-342,2023-07-02,VNM
M-343,2023-07-02,VNM
M-344,2023-07-08,VNM
M-345,2023-07-08,VNM
M-346,2023-07-03,VNM
M-347,2023-07-14,VNM
M-348,2023-07-03,VNM
M-349,2023-07-07,VNM
M-350,2023-07-09,VNM
M-351,2023-07-06,VNM
M-352,2023-07-10,VNM
M-353,2023-07-07,VNM
M-354,2023-07-03,VNM
M-355,2023-07-08,VNM
M-356,2023-07-02,VNM
M-357,2023-07-10,VNM
M-358,2023-07-27,VNM
M-359,2023-07-04,VNM
M-360,2023-07-13,VNM
M-361,2023-07-09,VNM
M-362,2023-07-08,VNM
M-363,2023-07-06,VNM
M-364,2023-07-08,VNM
M-365,2023-07-24,VNM
M-366,2023-07-09,VNM
M-367,2023-07-02,VNM
M-368,2023-07-08,VNM
M-369,2023-07-19,VNM
M-370,2023-07-15,VNM
M-371,2023-07-13,VNM
M-372,2023-07-08,VNM
M-373,2023-07-08,VNM
M-374,2023-07-08,VNM
M-375,2023-07-04,VNM
H-114,2023-07-25,VNM
H-115,2023-07-31,VNM
H-116,2023-07-27,VNM
H-117,2023-07-29,VNM
H-118,2023-07-30,VNM
H-119,2023-07-27,VNM
H-120,2023-07-30,VNM
H-121,2023-07-27,VNM
M-376,2023-07-04,VNM
M-377,2023-07-09,VNM
M-378,2023-07-10,VNM
M-379,2023-07-08,VNM
M-380,2023-07-04,VNM
M-381,2023-07-06,VNM
M-382,2023-07-04,VNM
M-383,2023-07-06,VNM
M-384,2023-07-12,VNM
M-385,2023-07-08,VNM
M-386,2023-07-15,VNM
M-387,2023-07-07,VNM
M-388,2023-07-15,VNM
M-389,2023-07-13,VNM
M-390,2023-07-12,VNM
M-391,2023-07-03,VNM
M-392,2023-07-08,VNM
M-393,2023-07-08,VNM
M-394,2023-07-08,VNM
M-395,2023-07-08,VNM
M-396,2023-07-04,VNM
M-397,2023-07-27,VNM
M-398,2023-07-08,CHN
M-399,2023-07-19,VNM
M-400,2023-07-03,VNM
M-401,2023-07-15,VNM
M-402,2023-07-12,VNM
M-403,2023-07-19,VNM
M-404,2023-07-30,VNM
M-405,2023-07-07,VNM
M-406,2023-07-04,VNM
H-122,2023-07-31,CHN
H-123,2023-07-30,VNM
H-124,2023-07-30,CHN
H-125,2023-07-25,VNM
H-126,2023-07-30,VNM
H-127,2023-07-30,KHM
H-128,2023-07-29,KHM
H-129,2023-07-29,VNM
H-130,2023-07-29,VNM
H-131,2023-07-27,VNM
H-132,2023-07-31,VNM
M-407,2023-07-08,VNM
M-408,2023-07-07,VNM
M-409,2023-07-19,VNM
M-410,2023-07-12,VNM
M-411,2023-07-04,VNM
M-412,2023-07-14,VNM
M-413,2023-07-23,VNM
M-414,2023-07-08,VNM
M-415,2023-07-27,VNM
M-416,2023-07-20,VNM
M-417,2023-07-09,VNM
M-418,2023-07-17,VNM
M-419,2023-07-12,VNM
M-420,2023-07-08,VNM
M-421,2023-07-06,VNM
M-422,2023-07-04,VNM
M-423,2023-07-08,VNM
M-424,2023-07-25,VNM
M-425,2023-07-04,VNM
M-426,2023-07-06,VNM
M-427,2023-07-06,VNM
M-428,2023-07-08,VNM
M-429,2023-07-04,VNM
M-430,2023-07-20,THA
M-431,2023-07-06,THA
M-432,2023-07-06,VNM
M-433,2023-07-21,VNM
M-434,2023-07-07,VNM
M-435,2023-07-10,VNM
M-436,2023-07-14,VNM
M-437,2023-07-20,VNM
M-438,2023-07-13,VNM
M-439,2023-07-08,VNM
H-133,2023-07-31,VNM
H-134,2023-07-31,VNM
H-135,2023-08-01,CHN
H-136,2023-07-27,VNM
H-137,2023-07-31,VNM
H-138,2023-07-31,THA
H-139,2023-07-31,VNM
H-140,2023-07-31,VNM
H-141,2023-07-30,VNM
H-142,2023-08-01,VNM
H-143,2023-07-31,VNM
H-144,2023-07-31,KHM
M-440,2023-07-08,VNM
M-441,2023-07-10,VNM
M-442,2023-08-01,CHN
M-443,2023-07-07,VNM
M-444,2023-07-09,VNM
M-445,2023-07-06,VNM
M-446,2023-07-06,VNM
M-447,2023-07-08,VNM
M-448,2023-07-15,VNM
M-449,2023-07-25,VNM
M-450,2023-07-25,CHN
M-451,2023-07-12,VNM
M-452,2023-07-08,VNM
M-453,2023-07-06,VNM
M-454,2023-07-17,VNM
M-455,2023-07-07,VNM
M-456,2023-07-19,THA
M-457,2023-07-07,THA
M-458,2023-07-10,VNM
M-459,2023-07-12,VNM
M-460,2023-07-15,VNM
M-461,2023-07-07,VNM
M-462,2023-07-06,VNM
M-463,2023-07-07,VNM
M-464,2023-07-13,VNM
H-145,2023-08-01,VNM
H-146,2023-08-01,VNM
H-147,2023-07-30,THA
H-148,2023-07-27,VNM
H-149,2023-07-29,VNM
H-150,2023-07-29,VNM
H-151,2023-08-01,VNM
H-152,2023-08-02,VNM
H-153,2023-07-30,VNM
H-154,2023-07-30,THA
H-155,2023-07-31,VNM
H-156,2023-08-01,VNM
H-157,2023-07-31,CHN
M-465,2023-07-07,VNM
M-466,2023-07-14,VNM
M-467,2023-07-07,VNM
M-468,2023-07-31,VNM
M-469,2023-07-08,VNM
M-470,2023-07-08,VNM
M-471,2023-07-09,VNM
M-472,2023-07-07,CHN
M-473,2023-07-08,VNM
M-474,2023-07-31,VNM
M-475,2023-07-08,VNM
M-476,2023-07-07,VNM
M-477,2023-07-19,VNM
M-478,2023-07-31,VNM
M-479,2023-07-08,VNM
M-480,2023-07-07,VNM
M-481,2023-07-15,VNM
M-482,2023-07-14,VNM
M-483,2023-07-12,VNM
M-484,2023-07-25,VNM
M-485,2023-07-08,VNM
M-486,2023-07-09,VNM
M-487,2023-07-08,CHN
M-488,2023-07-10,VNM
M-489,2023-07-14,VNM
M-490,2023-07-08,VNM
M-491,2023-07-13,VNM
M-492,2023-07-14,VNM
M-493,2023-07-13,VNM
M-494,2023-07-08,VNM
M-495,2023-07-09,VNM
M-496,2023-07-14,VNM
M-497,2023-07-26,THA
M-498,2023-07-12,THA
M-499,2023-07-14,THA
M-500,2023-07-08,VNM
M-501,2023-07-13,VNM
M-502,2023-07-14,VNM
M-503,2023-07-31,VNM
M-504,2023-07-10,VNM
M-505,2023-07-07,VNM
M-506,2023-07-09,VNM
M-507,2023-07-07,VNM
M-508,2023-07-07,VNM
M-509,2023-07-12,VNM
M-510,2023-07-08,VNM
M-511,2023-07-07,LAO
M-512,2023-07-13,VNM
M-513,2023-07-10,VNM
M-514,2023-07-19,VNM
M-515,2023-07-29,VNM
M-516,2023-07-12,VNM
M-517,2023-07-12,VNM
H-158,2023-08-01,VNM
H-159,2023-08-01,VNM
H-160,2023-07-31,VNM
H-161,2023-07-31,VNM
H-162,2023-08-01,VNM
H-163,2023-07-31,VNM
H-164,2023-08-01,CHN
H-165,2023-07-31,VNM
H-166,2023-07-31,VNM
H-167,2023-08-01,VNM
M-518,2023-07-09,VNM
M-519,2023-07-20,VNM
M-520,2023-07-21,VNM
M-521,2023-07-09,VNM
M-522,2023-07-23,VNM
M-523,2023-07-08,VNM
M-524,2023-07-19,VNM
M-525,2023-07-10,VNM
M-526,2023-07-08,VNM
M-527,2023-07-12,VNM
M-528,2023-07-14,VNM
M-529,2023-07-08,VNM
M-530,2023-07-08,VNM
M-531,2023-07-10,VNM
M-532,2023-07-08,VNM
M-533,2023-07-25,VNM
M-534,2023-07-13,VNM
M-535,2023-07-08,VNM
M-536,2023-07-10,VNM
M-537,2023-07-14,VNM
M-538,2023-07-08,VNM
M-539,2023-07-13,VNM
M-540,2023-07-08,VNM
M-541,2023-07-08,THA
M-542,2023-07-08,THA
M-543,2023-07-21,KHM
M-544,2023-07-17,KHM
M-545,2023-07-13,VNM
M-546,2023-07-18,VNM
M-547,2023-08-11,VNM
M-548,2023-07-08,VNM
M-549,2023-07-13,VNM
M-550,2023-07-18,VNM
M-551,2023-07-14,VNM
M-552,2023-07-23,VNM
M-553,2023-07-20,LAO
M-554,2023-07-31,VNM
M-555,2023-07-10,VNM
M-556,2023-07-08,VNM
M-557,2023-07-15,VNM
M-558,2023-07-08,VNM
M-559,2023-07-09,VNM
H-168,2023-08-04,VNM
H-169,2023-08-02,VNM
H-170,2023-08-02,VNM
H-171,2023-07-31,VNM
H-172,2023-08-02,VNM
H-173,2023-08-02,VNM
H-174,2023-08-04,VNM
H-175,2023-08-02,VNM
H-176,2023-07-31,VNM
H-177,2023-08-02,VNM
H-178,2023-07-30,THA
H-179,2023-08-05,VNM
H-180,2023-08-05,CHN
H-181,2023-08-02,VNM
H-182,2023-08-05,VNM
H-183,2023-08-04,VNM
H-184,2023-08-05,VNM
M-560,2023-07-19,VNM
M-561,2023-07-21,VNM
M-562,2023-07-09,VNM
M-563,2023-07-10,VNM
M-564,2023-07-09,VNM
M-565,2023-07-19,VNM
M-566,2023-07-08,VNM
M-567,2023-07-10,VNM
M-568,2023-07-13,VNM
M-569,2023-07-14,VNM
M-570,2023-07-15,VNM
M-571,2023-07-14,VNM
M-572,2023-07-14,VNM
M-573,2023-07-12,VNM
M-574,2023-07-13,VNM
M-575,2023-07-13,VNM
M-576,2023-07-14,VNM
M-577,2023-07-17,VNM
M-578,2023-07-09,VNM
M-579,2023-07-17,VNM
M-580,2023-07-09,VNM
M-581,2023-07-14,KHM
M-582,2023-07-14,VNM
M-583,2023-07-29,VNM
M-584,2023-07-08,VNM
M-585,2023-07-14,VNM
M-586,2023-07-09,VNM
M-587,2023-07-08,VNM
M-588,2023-07-12,VNM
M-589,2023-07-12,VNM
M-590,2023-07-08,VNM
M-591,2023-07-19,VNM
M-592,2023-07-08,VNM
M-593,2023-07-23,VNM
M-594,2023-07-18,VNM
M-595,2023-07-15,THA
M-596,2023-07-08,KHM
M-597,2023-07-09,KHM
M-598,2023-07-09,VNM
M-599,2023-07-14,VNM
M-600,2023-08-01,VNM
M-601,2023-07-15,VNM
M-602,2023-07-15,VNM
M-603,2023-07-17,VNM
M-604,2023-07-29,VNM
M-605,2023-07-21,VNM
M-606,2023-07-14,LAO
M-607,2023-07-08,LAO
M-608,2023-07-08,VNM
M-609,2023-07-08,VNM
M-610,2023-07-08,VNM
M-611,2023-07-20,VNM
M-612,2023-07-10,VNM
M-613,2023-07-12,VNM
H-185,2023-08-04,VNM
H-186,2023-08-05,VNM
H-187,2023-07-31,VNM
H-188,2023-08-05,KHM
H-189,2023-08-02,VNM
H-190,2023-08-04,VNM
H-191,2023-08-02,VNM
H-192,2023-08-01,VNM
H-193,2023-08-01,VNM
H-194,2023-08-02,CHN
H-195,2023-08-05,THA
H-196,2023-08-05,VNM
H-197,2023-08-05,VNM
H-198,2023-08-02,CHN
H-199,2023-08-02,VNM
M-614,2023-07-09,VNM
M-615,2023-07-14,VNM
M-616,2023-07-09,VNM
M-617,2023-07-13,VNM
M-618,2023-07-09,VNM
M-619,2023-07-19,VNM
M-620,2023-07-09,VNM
M-621,2023-07-09,VNM
M-622,2023-07-21,VNM
M-623,2023-07-09,VNM
M-624,2023-07-12,VNM
M-625,2023-07-10,VNM
M-626,2023-07-14,VNM
M-627,2023-07-14,VNM
M-628,2023-07-19,VNM
M-629,2023-07-18,VNM
M-630,2023-07-19,VNM
M-631,2023-07-10,VNM
M-632,2023-07-12,KHM
M-633,2023-07-17,VNM
M-634,2023-07-14,VNM
M-635,2023-07-10,VNM
M-636,2023-07-09,VNM
M-637,2023-07-21,VNM
M-638,2023-07-14,VNM
M-639,2023-07-10,VNM
M-640,2023-07-20,VNM
M-641,2023-07-14,VNM
M-642,2023-07-12,VNM
M-643,2023-07-10,VNM
M-644,2023-07-14,VNM
M-645,2023-07-18,VNM
M-646,2023-07-10,VNM
M-647,2023-07-14,VNM
M-648,2023-07-15,VNM
M-649,2023-07-18,VNM
M-650,2023-07-14,VNM
M-651,2023-07-14,VNM
M-652,2023-07-09,VNM
M-653,2023-07-12,VNM
M-654,2023-07-17,VNM
M-655,2023-07-09,VNM
M-656,2023-07-13,VNM
M-657,2023-07-15,VNM
M-658,2023-07-12,VNM
M-659,2023-07-17,VNM
M-660,2023-07-18,KHM
M-661,2023-07-12,VNM
M-662,2023-07-18,VNM
M-663,2023-07-14,VNM
M-664,2023-07-14,VNM
M-665,2023-07-14,VNM
M-666,2023-07-14,VNM
M-667,2023-07-14,VNM
M-668,2023-07-18,VNM
M-669,2023-07-15,VNM
M-670,2023-07-15,LAO
M-671,2023-07-25,VNM
M-672,2023-07-14,VNM
H-200,2023-08-01,KHM
H-201,2023-07-31,KHM
H-202,2023-08-04,VNM
H-203,2023-08-05,VNM
H-204,2023-08-02,VNM
H-205,2023-08-04,VNM
H-206,2023-08-09,THA
H-207,2023-08-02,VNM
H-208,2023-08-05,VNM
H-209,2023-08-05,VNM
H-210,2023-08-05,VNM
H-211,2023-08-05,VNM
H-212,2023-08-04,VNM
H-213,2023-07-31,VNM
H-214,2023-08-05,VNM
H-215,2023-08-04,CHN
H-216,2023-08-05,VNM
H-217,2023-08-05,VNM
H-218,2023-08-04,CHN
H-219,2023-08-04,VNM
H-220,2023-08-02,VNM
H-221,2023-08-05,VNM
H-222,2023-08-05,VNM
H-223,2023-08-04,THA
H-224,2023-07-30,VNM
H-225,2023-08-02,VNM
H-226,2023-08-05,CHN
M-673,2023-07-17,VNM
M-674,2023-07-15,VNM
M-675,2023-07-12,VNM
M-676,2023-07-17,VNM
M-677,2023-07-14,VNM
M-678,2023-07-19,VNM
M-679,2023-07-25,VNM
M-680,2023-07-12,VNM
M-681,2023-07-21,VNM
M-682,2023-07-10,VNM
M-683,2023-07-18,VNM
M-684,2023-07-19,VNM
M-685,2023-07-10,VNM
M-686,2023-07-12,VNM
M-687,2023-07-30,VNM
M-688,2023-07-12,VNM
M-689,2023-07-15,VNM
M-690,2023-07-13,VNM
M-691,2023-07-14,VNM
M-692,2023-07-13,VNM
M-693,2023-07-21,VNM
M-694,2023-07-17,VNM
M-695,2023-07-14,VNM
M-696,2023-07-10,VNM
M-697,2023-07-17,VNM
M-698,2023-07-10,VNM
M-699,2023-07-10,VNM
M-700,2023-07-12,VNM
M-701,2023-07-15,VNM
M-702,2023-07-19,VNM
M-703,2023-07-10,VNM
M-704,2023-07-14,VNM
M-705,2023-07-12,VNM
M-706,2023-07-24,VNM
M-707,2023-07-27,VNM
